Country,ISO,UNICEF Programme Region,UNICEF Reporting Region,Women aged 15-49_National,World Bank Income Group (2022),Year
Syrian Arab Republic,SYR,MENA,Middle East and North Africa,87.7,Low income,2009
Tajikistan,TJK,ECARO,Eastern Europe and Central Asia,71.3,Lower middle income,2000
Tajikistan,TJK,ECARO,Eastern Europe and Central Asia,77.1,Lower middle income,2005
Tajikistan,TJK,ECARO,Eastern Europe and Central Asia,78.8,Lower middle income,2012
Tajikistan,TJK,ECARO,Eastern Europe and Central Asia,88.8,Lower middle income,2007
Tajikistan,TJK,ECARO,Eastern Europe and Central Asia,91.8,Lower middle income,2017
Thailand,THA,EAPRO,East Asia and Pacific,91.8,Upper middle income,2000
Thailand,THA,EAPRO,East Asia and Pacific,97.8,Upper middle income,2006
Thailand,THA,EAPRO,East Asia and Pacific,98.1,Upper middle income,2012
Thailand,THA,EAPRO,East Asia and Pacific,98.1,Upper middle income,2016
Thailand,THA,EAPRO,East Asia and Pacific,98.6,Upper middle income,2019
Thailand,THA,EAPRO,East Asia and Pacific,99.1,Upper middle income,2009
The Republic of Türkiye,TUR,ECARO,Eastern Europe and Central Asia,80.9,Upper middle income,2003
The Republic of Türkiye,TUR,ECARO,Eastern Europe and Central Asia,92,Upper middle income,2008
The Republic of Türkiye,TUR,ECARO,Eastern Europe and Central Asia,96.4,Upper middle income,2018
The Republic of Türkiye,TUR,ECARO,Eastern Europe and Central Asia,97,Upper middle income,2014
Timor-Leste,TLS,EAPRO,East Asia and Pacific,42.5,Lower middle income,2002
Timor-Leste,TLS,EAPRO,East Asia and Pacific,60.5,Lower middle income,2003
Timor-Leste,TLS,EAPRO,East Asia and Pacific,84.4,Lower middle income,2010
Timor-Leste,TLS,EAPRO,East Asia and Pacific,84.4,Lower middle income,2016
Togo,TGO,WCARO,West and Central Africa,71.6,Low income,2010
Togo,TGO,WCARO,West and Central Africa,72.7,Low income,2014
Togo,TGO,WCARO,West and Central Africa,72.9,Low income,2000
Togo,TGO,WCARO,West and Central Africa,77.9,Low income,2017
Togo,TGO,WCARO,West and Central Africa,84.1,Low income,2006
Togo,TGO,WCARO,West and Central Africa,84.8,Low income,2003
Tonga,TON,EAPRO,East Asia and Pacific,97.7,Upper middle income,2019
Tonga,TON,EAPRO,East Asia and Pacific,97.9,Upper middle income,2010
Tonga,TON,EAPRO,East Asia and Pacific,99,Upper middle income,2008
Tonga,TON,EAPRO,East Asia and Pacific,99,Upper middle income,2012
Trinidad and Tobago,TTO,LACRO,Latin America and Caribbean,92.4,High income,2000
Trinidad and Tobago,TTO,LACRO,Latin America and Caribbean,95.1,High income,2011
Trinidad and Tobago,TTO,LACRO,Latin America and Caribbean,95.7,High income,2006
Tunisia,TUN,MENA,Middle East and North Africa,91.5,Lower middle income,2000
Tunisia,TUN,MENA,Middle East and North Africa,95.3,Lower middle income,2018
Tunisia,TUN,MENA,Middle East and North Africa,96,Lower middle income,2006
Tunisia,TUN,MENA,Middle East and North Africa,98.1,Lower middle income,2012
Turkmenistan,TKM,ECARO,Eastern Europe and Central Asia,98.1,Upper middle income,2000
Turkmenistan,TKM,ECARO,Eastern Europe and Central Asia,99.1,Upper middle income,2006
Turkmenistan,TKM,ECARO,Eastern Europe and Central Asia,99.6,Upper middle income,2016
Turkmenistan,TKM,ECARO,Eastern Europe and Central Asia,100,Upper middle income,2019
Turks and Caicos Islands,TCA,LACRO,Latin America and Caribbean,97.3,High income,2020
Tuvalu,TUV,EAPRO,East Asia and Pacific,93.9,Upper middle income,2020
Tuvalu,TUV,EAPRO,East Asia and Pacific,97.4,Upper middle income,2007
Uganda,UGA,ESARO,Eastern and Southern Africa,92.4,Low income,2001
Uganda,UGA,ESARO,Eastern and Southern Africa,93.3,Low income,2011
Uganda,UGA,ESARO,Eastern and Southern Africa,93.5,Low income,2006
Uganda,UGA,ESARO,Eastern and Southern Africa,95.1,Low income,2018
Uganda,UGA,ESARO,Eastern and Southern Africa,97.3,Low income,2016
Ukraine,UKR,ECARO,Eastern Europe and Central Asia,98.5,Lower middle income,2007
Ukraine,UKR,ECARO,Eastern Europe and Central Asia,98.6,Lower middle income,2012
Ukraine,UKR,ECARO,Eastern Europe and Central Asia,98.8,Lower middle income,2005
United Arab Emirates,ARE,MENA,Middle East and North Africa,100,High income,2007
United Republic of Tanzania,TZA,ESARO,Eastern and Southern Africa,75.8,Lower middle income,2008
United Republic of Tanzania,TZA,ESARO,Eastern and Southern Africa,78.2,Lower middle income,2005
United Republic of Tanzania,TZA,ESARO,Eastern and Southern Africa,87.8,Lower middle income,2010
United Republic of Tanzania,TZA,ESARO,Eastern and Southern Africa,98,Lower middle income,2016
United Republic of Tanzania,TZA,ESARO,Eastern and Southern Africa,98,Lower middle income,2017
Uruguay,URY,LACRO,Latin America and Caribbean,96.2,High income,2007
Uruguay,URY,LACRO,Latin America and Caribbean,97.1,High income,2005
Uruguay,URY,LACRO,Latin America and Caribbean,97.2,High income,2013
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,96.6,Lower middle income,2010
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,97.2,Lower middle income,2000
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,99,Lower middle income,2006
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,99.1,Lower middle income,2011
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,99.4,Lower middle income,2015
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,99.8,Lower middle income,2012
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,99.8,Lower middle income,2013
Uzbekistan,UZB,ECARO,Eastern Europe and Central Asia,99.8,Lower middle income,2014
Vanuatu,VUT,EAPRO,East Asia and Pacific,75.6,Lower middle income,2013
Vanuatu,VUT,EAPRO,East Asia and Pacific,84.3,Lower middle income,2007
Venezuela (Bolivarian Republic of),VEN,LACRO,Latin America and Caribbean,94.1,Not Classified,2000
Venezuela (Bolivarian Republic of),VEN,LACRO,Latin America and Caribbean,97.5,Not Classified,2013
Viet Nam,VNM,EAPRO,East Asia and Pacific,68.3,Lower middle income,2000
Viet Nam,VNM,EAPRO,East Asia and Pacific,86.4,Lower middle income,2002
Viet Nam,VNM,EAPRO,East Asia and Pacific,90.8,Lower middle income,2006
Viet Nam,VNM,EAPRO,East Asia and Pacific,93.7,Lower middle income,2011
Viet Nam,VNM,EAPRO,East Asia and Pacific,95.8,Lower middle income,2014
Viet Nam,VNM,EAPRO,East Asia and Pacific,97,Lower middle income,2021
Yemen,YEM,MENA,Middle East and North Africa,41.4,Low income,2003
Yemen,YEM,MENA,Middle East and North Africa,47,Low income,2006
Yemen,YEM,MENA,Middle East and North Africa,59.8,Low income,2013
Zambia,ZMB,ESARO,Eastern and Southern Africa,93.4,Low income,2002
Zambia,ZMB,ESARO,Eastern and Southern Africa,93.7,Low income,2007
Zambia,ZMB,ESARO,Eastern and Southern Africa,95.7,Low income,2014
Zambia,ZMB,ESARO,Eastern and Southern Africa,96.9,Low income,2019
Zimbabwe,ZWE,ESARO,Eastern and Southern Africa,88.4,Lower middle income,2009
Zimbabwe,ZWE,ESARO,Eastern and Southern Africa,89.8,Lower middle income,2011
Zimbabwe,ZWE,ESARO,Eastern and Southern Africa,93.3,Lower middle income,2015
Zimbabwe,ZWE,ESARO,Eastern and Southern Africa,93.3,Lower middle income,2019
Zimbabwe,ZWE,ESARO,Eastern and Southern Africa,93.7,Lower middle income,2014
Zimbabwe,ZWE,ESARO,Eastern and Southern Africa,94.2,Lower middle income,2006
